,name,rqfactor,meaning,category,category_meaning,source,is_proper
3,Residual Volatility,RESIDUAL_VOLATILITY,残差波动率因子衡量的是股票收益中无法被市场因子解释的部分的波动性。,基本面因子,,./resource/Zh\A股市场的风险估计及组合优化_赵亚军.pdf,FALSE
4,Book to Price Ratio,B/P,市净率因子衡量的是公司市场价值与账面价值的关系，用于评估公司资产的真实价值。,基本面因子,,./resource/Zh\A股市场的风险估计及组合优化_赵亚军.pdf,FALSE
5,Earnings Yield,E/P,盈利因子衡量的是公司盈利能力，通常用每股收益除以股票价格来表示。,基本面因子,,./resource/Zh\A股市场的风险估计及组合优化_赵亚军.pdf,FALSE
6,Growth,GROWTH,成长因子衡量的是公司盈利能力的增长速度。,基本面因子,,./resource/Zh\A股市场的风险估计及组合优化_赵亚军.pdf,FALSE
7,Leverage,LEVERAGE,杠杆因子衡量的是公司负债水平。,基本面因子,,./resource/Zh\A股市场的风险估计及组合优化_赵亚军.pdf,FALSE
8,Liquidity,LIQUIDITY,流动性因子衡量的是股票在市场中的可交易性和易变现性。,基本面因子,,./resource/Zh\A股市场的风险估计及组合优化_赵亚军.pdf,FALSE
9,Non-linear Size,NON_LINEAR_SIZE,非线性规模因子衡量的是公司规模对公司收益的影响。,基本面因子,,./resource/Zh\A股市场的风险估计及组合优化_赵亚军.pdf,FALSE
10,Price Momentum,PRICE_MOMENTUM,价格动量因子衡量的是股票价格在一定时间内的上涨或下跌趋势。,技术因子,,./resource/Zh\A股市场的风险估计及组合优化_赵亚军.pdf,TRUE
11,Volume Momentum,VOLUME_MOMENTUM,成交量动量因子衡量的是股票成交量在一定时间内的变化趋势。,技术因子,,./resource/Zh\A股市场的风险估计及组合优化_赵亚军.pdf,TRUE
12,RSI Momentum,RSI_MOMENTUM,RSI动量因子衡量的是相对强弱指标（RSI）的变化趋势。,技术因子,,./resource/Zh\A股市场的风险估计及组合优化_赵亚军.pdf,TRUE
13,MACD Momentum,MACD_MOMENTUM,MACD动量因子衡量的是MACD指标的变化趋势。,技术因子,,./resource/Zh\A股市场的风险估计及组合优化_赵亚军.pdf,TRUE
14,OBV,OBV,累计/派发线因子衡量的是市场参与者的买卖意愿。,技术因子,,./resource/Zh\A股市场的风险估计及组合优化_赵亚军.pdf,TRUE
15,Force Index,FORCE_INDEX,能量潮指标因子衡量的是市场参与者的能量和动力。,技术因子,,./resource/Zh\A股市场的风险估计及组合优化_赵亚军.pdf,TRUE
16,GDP Growth Rate,GDP_GROWTH_RATE,国内生产总值增速因子衡量的是经济增长的速度。,宏观因子,,./resource/Zh\A股市场的风险估计及组合优化_赵亚军.pdf,TRUE
17,CPI,CPI,居民消费价格指数因子衡量的是通货膨胀的程度。,宏观因子,,./resource/Zh\A股市场的风险估计及组合优化_赵亚军.pdf,TRUE
18,Inflation Rate,INFLATION_RATE,通货膨胀率因子衡量的是通货膨胀的程度。,宏观因子,,./resource/Zh\A股市场的风险估计及组合优化_赵亚军.pdf,TRUE
19,Interest Rate,INTEREST_RATE,利率因子衡量的是资金成本。,宏观因子,,./resource/Zh\A股市场的风险估计及组合优化_赵亚军.pdf,TRUE
20,PMI,PMI,制造业采购经理指数因子衡量的是制造业的景气程度。,宏观因子,,./resource/Zh\A股市场的风险估计及组合优化_赵亚军.pdf,TRUE
0,EPS,EPS,基本每股收益,基本面因子,,./resource/Zh\“双碳”背景下的ESG量化多因子策略研究_黄若羽.pdf,TRUE
1,PB,PB,市净率ttm,基本面因子,,./resource/Zh\“双碳”背景下的ESG量化多因子策略研究_黄若羽.pdf,TRUE
2,PS,PS,市销率ttm,基本面因子,,./resource/Zh\“双碳”背景下的ESG量化多因子策略研究_黄若羽.pdf,TRUE
3,PE,PE,市盈率,基本面因子,,./resource/Zh\“双碳”背景下的ESG量化多因子策略研究_黄若羽.pdf,TRUE
4,EV,EV,企业价值ttm,基本面因子,,./resource/Zh\“双碳”背景下的ESG量化多因子策略研究_黄若羽.pdf,TRUE
5,DEBT_TO_ASSETS,DEBT_TO_ASSETS,资产负债率,基本面因子,,./resource/Zh\“双碳”背景下的ESG量化多因子策略研究_黄若羽.pdf,TRUE
6,DEBT_TO_EQUITY,DEBT_TO_EQUITY,权益负债率,基本面因子,,./resource/Zh\“双碳”背景下的ESG量化多因子策略研究_黄若羽.pdf,TRUE
7,CURRENT_RATIO,CURRENT_RATIO,流动比率,基本面因子,,./resource/Zh\“双碳”背景下的ESG量化多因子策略研究_黄若羽.pdf,TRUE
8,QUICK_RATIO,QUICK_RATIO,速动比率,基本面因子,,./resource/Zh\“双碳”背景下的ESG量化多因子策略研究_黄若羽.pdf,TRUE
9,ASSET_TURNOVER,ASSET_TURNOVER,总资产周转率,基本面因子,,./resource/Zh\“双碳”背景下的ESG量化多因子策略研究_黄若羽.pdf,TRUE
10,Wind ESG Score,Wind ESG Score,Wind ESG综合分数,ESG,,./resource/Zh\“双碳”背景下的ESG量化多因子策略研究_黄若羽.pdf,FALSE
11,Syntao Green ESG Rating,Syntao Green ESG Rating,商道融绿ESG评级,ESG,,./resource/Zh\“双碳”背景下的ESG量化多因子策略研究_黄若羽.pdf,FALSE
12,Huazheng ESG Rating,Huazheng ESG Rating,华证ESG评级,ESG,,./resource/Zh\“双碳”背景下的ESG量化多因子策略研究_黄若羽.pdf,FALSE
13,MACD_DIFF,MACD_DIFF,指数平滑移动平均线差离值,技术因子,,./resource/Zh\“双碳”背景下的ESG量化多因子策略研究_黄若羽.pdf,TRUE
14,MACD_DEA,MACD_DEA,指数平滑移动平均线平滑移动平均线,技术因子,,./resource/Zh\“双碳”背景下的ESG量化多因子策略研究_黄若羽.pdf,TRUE
15,MACD_HIST,MACD_HIST,指数平滑移动平均线柱形图,技术因子,,./resource/Zh\“双碳”背景下的ESG量化多因子策略研究_黄若羽.pdf,TRUE
16,BOLL,BOLL,布林线基准,技术因子,,./resource/Zh\“双碳”背景下的ESG量化多因子策略研究_黄若羽.pdf,TRUE
17,BOLL_UP,BOLL_UP,布林线上轨,技术因子,,./resource/Zh\“双碳”背景下的ESG量化多因子策略研究_黄若羽.pdf,TRUE
18,BOLL_DOWN,BOLL_DOWN,布林线下轨,技术因子,,./resource/Zh\“双碳”背景下的ESG量化多因子策略研究_黄若羽.pdf,TRUE
19,PRICE_STD,PRICE_STD,近20交易日收盘价的标准差,技术因子,,./resource/Zh\“双碳”背景下的ESG量化多因子策略研究_黄若羽.pdf,TRUE
20,VOLUME_STD,VOLUME_STD,近20交易日成交量的标准差,技术因子,,./resource/Zh\“双碳”背景下的ESG量化多因子策略研究_黄若羽.pdf,TRUE
21,RSI,RSI,相对强弱指标(N=10),技术因子,,./resource/Zh\“双碳”背景下的ESG量化多因子策略研究_黄若羽.pdf,TRUE
22,KDJ_K,KDJ_K,随机波动指标K值,技术因子,,./resource/Zh\“双碳”背景下的ESG量化多因子策略研究_黄若羽.pdf,TRUE
23,KDJ_D,KDJ_D,随机波动指标D值,技术因子,,./resource/Zh\“双碳”背景下的ESG量化多因子策略研究_黄若羽.pdf,TRUE
24,KDJ_J,KDJ_J,随机波动指标J值,技术因子,,./resource/Zh\“双碳”背景下的ESG量化多因子策略研究_黄若羽.pdf,TRUE
25,ATR,ATR,真实幅值,技术因子,,./resource/Zh\“双碳”背景下的ESG量化多因子策略研究_黄若羽.pdf,TRUE
26,PRICE_MOMENTUM,PRICE_MOMENTUM,收盘价动量,技术因子,,./resource/Zh\“双碳”背景下的ESG量化多因子策略研究_黄若羽.pdf,TRUE
27,VOLUME_MOMENTUM,VOLUME_MOMENTUM,交易量动量,技术因子,,./resource/Zh\“双碳”背景下的ESG量化多因子策略研究_黄若羽.pdf,TRUE
28,RSI_MOMENTUM,RSI_MOMENTUM,RSI动量,技术因子,,./resource/Zh\“双碳”背景下的ESG量化多因子策略研究_黄若羽.pdf,TRUE
29,MACD_MOMENTUM,MACD_MOMENTUM,MACK动量,技术因子,,./resource/Zh\“双碳”背景下的ESG量化多因子策略研究_黄若羽.pdf,TRUE
30,OBV,OBV,累计/派发线,技术因子,,./resource/Zh\“双碳”背景下的ESG量化多因子策略研究_黄若羽.pdf,TRUE
31,FORCE_INDEX,FORCE_INDEX,能量潮指标,技术因子,,./resource/Zh\“双碳”背景下的ESG量化多因子策略研究_黄若羽.pdf,TRUE
32,GDP,GDP,国内生产总值,宏观因子,,./resource/Zh\“双碳”背景下的ESG量化多因子策略研究_黄若羽.pdf,TRUE
33,GDP_GROWTH_RATE,GDP_GROWTH_RATE,国内生产总值增速,宏观因子,,./resource/Zh\“双碳”背景下的ESG量化多因子策略研究_黄若羽.pdf,TRUE
34,CPI,CPI,居民消费价格指数,宏观因子,,./resource/Zh\“双碳”背景下的ESG量化多因子策略研究_黄若羽.pdf,TRUE
35,INFLATION_RATE,INFLATION_RATE,通货膨胀率,宏观因子,,./resource/Zh\“双碳”背景下的ESG量化多因子策略研究_黄若羽.pdf,TRUE
36,INTEREST_RATE,INTEREST_RATE,上海银行间同业拆借1年期利率,宏观因子,,./resource/Zh\“双碳”背景下的ESG量化多因子策略研究_黄若羽.pdf,TRUE
37,PMI,PMI,制造业采购经理指数,宏观因子,,./resource/Zh\“双碳”背景下的ESG量化多因子策略研究_黄若羽.pdf,TRUE
0,Alpha,ALPHA,Alpha因子是指股票的实际收益率与根据市场模型预测的收益率之间的差异，它衡量了股票的超额收益。,基本面因子,,./resource/Zh\一种多因子量化投资模型的实证研究_徐鹏.pdf,FALSE
1,PSY,(50-ALPHA)/50,PSY指标是一种情绪指标，它通过计算一定时间内上涨天数与总天数的比例来衡量投资者的情绪波动。,技术因子,,./resource/Zh\一种多因子量化投资模型的实证研究_徐鹏.pdf,FALSE
2,VR,(450-VR)/450,VR指标是成交量变异率，它通过计算一定时间内成交量的标准差与平均成交量的比值来衡量成交量的强弱。,技术因子,,./resource/Zh\一种多因子量化投资模型的实证研究_徐鹏.pdf,FALSE
0,Size,LOG(MARKET_CAP),公司规模，通常用公司市值来衡量。,基本面因子,,./resource/Zh\中国A股因子模型比较_林梦茹.pdf,FALSE
1,Value,PB,公司价值，通常用市净率来衡量。,基本面因子,,./resource/Zh\中国A股因子模型比较_林梦茹.pdf,TRUE
2,Profitability,EPS,公司盈利能力，通常用每股收益来衡量。,基本面因子,,./resource/Zh\中国A股因子模型比较_林梦茹.pdf,TRUE
3,Investment,ASSET_TURNOVER,公司投资规模，通常用总资产周转率来衡量。,基本面因子,,./resource/Zh\中国A股因子模型比较_林梦茹.pdf,TRUE
4,Momentum,PRICE_MOMENTUM,动量因子，反映股票价格在一定时间内的上涨或下跌趋势。,技术因子,,./resource/Zh\中国A股因子模型比较_林梦茹.pdf,TRUE
5,Turnover Rate,VOLUME_STD,换手率因子，衡量股票在市场中的可交易性和易变现性。,技术因子,,./resource/Zh\中国A股因子模型比较_林梦茹.pdf,TRUE
6,Trend Factor,"SMA(PRICE, 200)-PRICE",趋势因子，反映股票价格的趋势和惯性。,技术因子,,./resource/Zh\中国A股因子模型比较_林梦茹.pdf,FALSE
0,Earnings Per Share (EPS),EPS,基本每股收益，反映公司盈利能力。,基本面因子,,./resource/Zh\中国A股市场短期Alpha套利研究_张煌胜.pdf,TRUE
1,Price to Book Ratio (P/B),PB,市净率ttm，反映公司市场价值与账面价值的关系。,基本面因子,,./resource/Zh\中国A股市场短期Alpha套利研究_张煌胜.pdf,TRUE
2,Price to Sales Ratio (P/S),PS,市销率ttm，衡量公司销售额与股票市值的关系。,基本面因子,,./resource/Zh\中国A股市场短期Alpha套利研究_张煌胜.pdf,TRUE
3,Price to Earnings Ratio (PE),PE,市盈率，衡量市场对公司未来盈利能力的预期。,基本面因子,,./resource/Zh\中国A股市场短期Alpha套利研究_张煌胜.pdf,TRUE
4,Enterprise Value (EV),EV,企业价值ttm，反映公司的整体价值。,基本面因子,,./resource/Zh\中国A股市场短期Alpha套利研究_张煌胜.pdf,TRUE
5,Debt to Assets Ratio,DEBT_TO_ASSETS,资产负债率，衡量公司的负债情况。,基本面因子,,./resource/Zh\中国A股市场短期Alpha套利研究_张煌胜.pdf,TRUE
6,Debt to Equity Ratio,DEBT_TO_EQUITY,权益负债率，衡量公司的资本结构。,基本面因子,,./resource/Zh\中国A股市场短期Alpha套利研究_张煌胜.pdf,TRUE
7,Current Ratio,CURRENT_RATIO,流动比率，衡量公司的短期偿债能力。,基本面因子,,./resource/Zh\中国A股市场短期Alpha套利研究_张煌胜.pdf,TRUE
8,Quick Ratio,QUICK_RATIO,速动比率，衡量公司的快速偿债能力。,基本面因子,,./resource/Zh\中国A股市场短期Alpha套利研究_张煌胜.pdf,TRUE
9,Asset Turnover,ASSET_TURNOVER,总资产周转率，衡量公司的资产利用效率。,基本面因子,,./resource/Zh\中国A股市场短期Alpha套利研究_张煌胜.pdf,TRUE
10,MACD Difference,MACD_DIFF,指数平滑移动平均线差离值，用于判断股票价格的趋势。,技术因子,,./resource/Zh\中国A股市场短期Alpha套利研究_张煌胜.pdf,TRUE
11,MACD DEA,MACD_DEA,指数平滑移动平均线平滑移动平均线，用于判断股票价格的动量。,技术因子,,./resource/Zh\中国A股市场短期Alpha套利研究_张煌胜.pdf,TRUE
12,MACD Histogram,MACD_HIST,指数平滑移动平均线柱形图，用于判断股票价格的动量。,技术因子,,./resource/Zh\中国A股市场短期Alpha套利研究_张煌胜.pdf,TRUE
13,Bollinger Band,BOLL,布林线基准，用于判断股票价格的波动范围。,技术因子,,./resource/Zh\中国A股市场短期Alpha套利研究_张煌胜.pdf,TRUE
14,Bollinger Upper Band,BOLL_UP,布林线上轨，用于判断股票价格的波动范围。,技术因子,,./resource/Zh\中国A股市场短期Alpha套利研究_张煌胜.pdf,TRUE
15,Bollinger Lower Band,BOLL_DOWN,布林线下轨，用于判断股票价格的波动范围。,技术因子,,./resource/Zh\中国A股市场短期Alpha套利研究_张煌胜.pdf,TRUE
16,Price Standard Deviation,PRICE_STD,近20交易日收盘价的标准差，用于判断股票价格的风险。,技术因子,,./resource/Zh\中国A股市场短期Alpha套利研究_张煌胜.pdf,TRUE
17,Volume Standard Deviation,VOLUME_STD,近20交易日成交量的标准差，用于判断股票价格的风险。,技术因子,,./resource/Zh\中国A股市场短期Alpha套利研究_张煌胜.pdf,TRUE
18,Relative Strength Index (RSI),RSI,相对强弱指标(N=10)，用于判断股票价格的超买或超卖状态。,技术因子,,./resource/Zh\中国A股市场短期Alpha套利研究_张煌胜.pdf,TRUE
19,KDJ K Value,KDJ_K,随机波动指标K值，用于判断股票价格的动量。,技术因子,,./resource/Zh\中国A股市场短期Alpha套利研究_张煌胜.pdf,TRUE
20,KDJ D Value,KDJ_D,随机波动指标D值，用于判断股票价格的动量。,技术因子,,./resource/Zh\中国A股市场短期Alpha套利研究_张煌胜.pdf,TRUE
21,KDJ J Value,KDJ_J,随机波动指标J值，用于判断股票价格的动量。,技术因子,,./resource/Zh\中国A股市场短期Alpha套利研究_张煌胜.pdf,TRUE
22,True Range,ATR,真实幅值，用于判断股票价格的风险。,技术因子,,./resource/Zh\中国A股市场短期Alpha套利研究_张煌胜.pdf,TRUE
23,Price Momentum,PRICE_MOMENTUM,收盘价动量，用于判断股票价格的动量。,技术因子,,./resource/Zh\中国A股市场短期Alpha套利研究_张煌胜.pdf,TRUE
24,Volume Momentum,VOLUME_MOMENTUM,交易量动量，用于判断股票价格的动量。,技术因子,,./resource/Zh\中国A股市场短期Alpha套利研究_张煌胜.pdf,TRUE
25,RSI Momentum,RSI_MOMENTUM,RSI动量，用于判断股票价格的动量。,技术因子,,./resource/Zh\中国A股市场短期Alpha套利研究_张煌胜.pdf,TRUE
26,MACD Momentum,MACD_MOMENTUM,MACD动量，用于判断股票价格的动量。,技术因子,,./resource/Zh\中国A股市场短期Alpha套利研究_张煌胜.pdf,TRUE
27,On Balance Volume,OBV,累计/派发线，用于判断股票价格的趋势。,技术因子,,./resource/Zh\中国A股市场短期Alpha套利研究_张煌胜.pdf,TRUE
28,Force Index,FORCE_INDEX,能量潮指标，用于判断股票价格的趋势。,技术因子,,./resource/Zh\中国A股市场短期Alpha套利研究_张煌胜.pdf,TRUE
29,Gross Domestic Product (GDP),GDP,国内生产总值，反映国家经济总量。,宏观因子,,./resource/Zh\中国A股市场短期Alpha套利研究_张煌胜.pdf,TRUE
30,GDP Growth Rate,GDP_GROWTH_RATE,国内生产总值增速，反映国家经济增长速度。,宏观因子,,./resource/Zh\中国A股市场短期Alpha套利研究_张煌胜.pdf,TRUE
31,Consumer Price Index (CPI),CPI,居民消费价格指数，反映通货膨胀水平。,宏观因子,,./resource/Zh\中国A股市场短期Alpha套利研究_张煌胜.pdf,TRUE
32,Inflation Rate,INFLATION_RATE,通货膨胀率，反映通货膨胀水平。,宏观因子,,./resource/Zh\中国A股市场短期Alpha套利研究_张煌胜.pdf,TRUE
33,Interest Rate,INTEREST_RATE,上海银行间同业拆借1年期利率，反映市场利率水平。,宏观因子,,./resource/Zh\中国A股市场短期Alpha套利研究_张煌胜.pdf,TRUE
34,Purchasing Managers' Index (PMI),PMI,制造业采购经理指数，反映制造业经济状况。,宏观因子,,./resource/Zh\中国A股市场短期Alpha套利研究_张煌胜.pdf,TRUE
0,盈利因子,EPS,盈利因子是指衡量公司盈利能力的指标，通常包括每股收益（EPS）、净资产收益率（ROE）等。,基本面因子,,./resource/Zh\中国主动基金能跑赢指数基金...——基于因子择时视角的分析_徐步.pdf,TRUE
1,市盈率,PRICE/EPS,市盈率是指股票价格与每股收益的比率，用于衡量股票的估值水平。,基本面因子,,./resource/Zh\中国主动基金能跑赢指数基金...——基于因子择时视角的分析_徐步.pdf,FALSE
2,市净率,PRICE/NET_ASSET,市净率是指股票价格与每股净资产的比率，用于衡量股票的估值水平。,基本面因子,,./resource/Zh\中国主动基金能跑赢指数基金...——基于因子择时视角的分析_徐步.pdf,FALSE
3,市销率,PRICE/SALES,市销率是指股票价格与每股销售额的比率，用于衡量公司销售额与股票市值的关系。,基本面因子,,./resource/Zh\中国主动基金能跑赢指数基金...——基于因子择时视角的分析_徐步.pdf,FALSE
4,资产负债率,DEBT/ASSETS,资产负债率是指公司负债总额与资产总额的比率，用于衡量公司的财务风险。,基本面因子,,./resource/Zh\中国主动基金能跑赢指数基金...——基于因子择时视角的分析_徐步.pdf,FALSE
5,权益负债率,DEBT/EQUITY,权益负债率是指公司负债总额与股东权益总额的比率，用于衡量公司的财务风险。,基本面因子,,./resource/Zh\中国主动基金能跑赢指数基金...——基于因子择时视角的分析_徐步.pdf,FALSE
6,流动比率,CURRENT_ASSETS/CURRENT LIABILITIES,流动比率是指公司流动资产与流动负债的比率，用于衡量公司的短期偿债能力。,基本面因子,,./resource/Zh\中国主动基金能跑赢指数基金...——基于因子择时视角的分析_徐步.pdf,FALSE
7,速动比率,QUICK_ASSETS/CURRENT LIABILITIES,速动比率是指公司速动资产与流动负债的比率，用于衡量公司的短期偿债能力。,基本面因子,,./resource/Zh\中国主动基金能跑赢指数基金...——基于因子择时视角的分析_徐步.pdf,FALSE
8,总资产周转率,SALES/ASSETS,总资产周转率是指公司营业收入与总资产的比率，用于衡量公司资产的使用效率。,基本面因子,,./resource/Zh\中国主动基金能跑赢指数基金...——基于因子择时视角的分析_徐步.pdf,FALSE
9,动量因子,PRICE_CHG,动量因子是指衡量股票价格变动趋势的指标，通常使用价格的变化率来表示。,技术因子,,./resource/Zh\中国主动基金能跑赢指数基金...——基于因子择时视角的分析_徐步.pdf,FALSE
10,规模因子,MARKET_CAP,规模因子是指衡量公司规模大小的指标，通常使用公司市值来表示。,技术因子,,./resource/Zh\中国主动基金能跑赢指数基金...——基于因子择时视角的分析_徐步.pdf,FALSE
11,价值因子,"P/E Ratio, P/B Ratio",价值因子是指衡量公司价值大小的指标，通常使用市盈率、市净率等指标来表示。,技术因子,,./resource/Zh\中国主动基金能跑赢指数基金...——基于因子择时视角的分析_徐步.pdf,FALSE
12,国内生产总值,GDP,国内生产总值是指一个国家在一定时期内生产的所有最终产品和服务的市场价值总和。,宏观因子,,./resource/Zh\中国主动基金能跑赢指数基金...——基于因子择时视角的分析_徐步.pdf,TRUE
13,国内生产总值增速,GDP_GROWTH_RATE,国内生产总值增速是指国内生产总值在一定时期内的增长率。,宏观因子,,./resource/Zh\中国主动基金能跑赢指数基金...——基于因子择时视角的分析_徐步.pdf,TRUE
14,居民消费价格指数,CPI,居民消费价格指数是指反映居民家庭购买一定篮子商品和服务价格变动情况的指数。,宏观因子,,./resource/Zh\中国主动基金能跑赢指数基金...——基于因子择时视角的分析_徐步.pdf,TRUE
15,通货膨胀率,INFLATION_RATE,通货膨胀率是指物价水平在一定时期内的增长率。,宏观因子,,./resource/Zh\中国主动基金能跑赢指数基金...——基于因子择时视角的分析_徐步.pdf,TRUE
16,上海银行间同业拆借1年期利率,INTEREST_RATE,上海银行间同业拆借1年期利率是指银行间市场1年期同业拆借利率。,宏观因子,,./resource/Zh\中国主动基金能跑赢指数基金...——基于因子择时视角的分析_徐步.pdf,TRUE
17,制造业采购经理指数,PMI,制造业采购经理指数是指反映制造业经济活动的综合指数。,宏观因子,,./resource/Zh\中国主动基金能跑赢指数基金...——基于因子择时视角的分析_徐步.pdf,TRUE
0,MACD,"EMA(CLOSE,12)-EMA(CLOSE,26)",指数平滑移动平均线差离值，用于衡量股票价格的趋势和动量。,技术因子,,./resource/Zh\中国开放式基金的选股能力、...时能力和波动率择时能力分析_隋婷婷.pdf,TRUE
1,RSI,100-(100/(1+RSV)),相对强弱指标(N=10)，用于衡量股票价格的动量和趋势。,技术因子,,./resource/Zh\中国开放式基金的选股能力、...时能力和波动率择时能力分析_隋婷婷.pdf,FALSE
2,Bollinger Bands,"SMA(CLOSE,20)",布林线基准，用于衡量股票价格的波动性和潜在的买卖点。,技术因子,,./resource/Zh\中国开放式基金的选股能力、...时能力和波动率择时能力分析_隋婷婷.pdf,TRUE
3,Price Momentum,"CLOSE-REF(CLOSE,1)",收盘价动量，用于衡量股票价格的动量和趋势。,技术因子,,./resource/Zh\中国开放式基金的选股能力、...时能力和波动率择时能力分析_隋婷婷.pdf,TRUE
4,Volume Momentum,"VOLUME-REF(VOLUME,1)",交易量动量，用于衡量股票交易量的动量和趋势。,技术因子,,./resource/Zh\中国开放式基金的选股能力、...时能力和波动率择时能力分析_隋婷婷.pdf,TRUE
5,Volatility,"STD(CLOSE,20)",波动率，用于衡量股票价格的波动幅度。,技术因子,,./resource/Zh\中国开放式基金的选股能力、...时能力和波动率择时能力分析_隋婷婷.pdf,TRUE
6,Market Sentiment,CICS,市场情绪指标，用于衡量投资者对市场的情绪。,技术因子,,./resource/Zh\中国开放式基金的选股能力、...时能力和波动率择时能力分析_隋婷婷.pdf,FALSE
0,Size,LOG(MARKET_CAP),规模因子，衡量公司规模的大小，通常用公司市值来表示。,基本面因子,,./resource/Zh\中国股票市场因子动量研究_王相芳.pdf,FALSE
1,Value,PB,价值因子，衡量公司价值与其市场价格的关系，通常用账面市值比来表示。,基本面因子,,./resource/Zh\中国股票市场因子动量研究_王相芳.pdf,TRUE
2,Profitability,ROE,盈利因子，衡量公司的盈利能力，通常用净资产收益率来表示。,基本面因子,,./resource/Zh\中国股票市场因子动量研究_王相芳.pdf,FALSE
3,Investment,GROWTH(TOTAL_ASSETS),投资因子，衡量公司的投资水平，通常用总资产增长率来表示。,基本面因子,,./resource/Zh\中国股票市场因子动量研究_王相芳.pdf,FALSE
4,Illiquidity,VOLATILITY(VOLUME),流动性因子，衡量股票在市场中的可交易性和易变现性，通常用换手率来表示。,基本面因子,,./resource/Zh\中国股票市场因子动量研究_王相芳.pdf,FALSE
5,Idiosyncratic Volatility,STD(RESIDUAL(Fama-French Three Factor Model)),特质波动率因子，衡量股票的特质波动率，通常用Fama-French三因子模型残差项的标准差来表示。,基本面因子,,./resource/Zh\中国股票市场因子动量研究_王相芳.pdf,FALSE
6,Momentum,"DELTA(PRICE, 1)",动量因子，衡量股票价格在一定时间内的上涨或下跌趋势。,技术因子,,./resource/Zh\中国股票市场因子动量研究_王相芳.pdf,FALSE
7,Reversal,"DELTA(PRICE, -1)",反转因子，基于价格在一定周期后可能出现反转的假设，捕捉价格回调或反转机会。,技术因子,,./resource/Zh\中国股票市场因子动量研究_王相芳.pdf,FALSE
8,GDP Growth Rate,GDP_GROWTH_RATE,国内生产总值增速，衡量国家经济增长的速度。,宏观因子,,./resource/Zh\中国股票市场因子动量研究_王相芳.pdf,TRUE
9,Inflation Rate,INFLATION_RATE,通货膨胀率，衡量物价水平上涨的速度。,宏观因子,,./resource/Zh\中国股票市场因子动量研究_王相芳.pdf,TRUE
10,Interest Rate,INTEREST_RATE,利率，衡量资金借贷的成本。,宏观因子,,./resource/Zh\中国股票市场因子动量研究_王相芳.pdf,TRUE
11,PMI,PMI,制造业采购经理指数，衡量制造业经济的扩张或收缩。,宏观因子,,./resource/Zh\中国股票市场因子动量研究_王相芳.pdf,TRUE
0,Earnings to Price Ratio (E/P),PRICE/NET_INCOME,衡量市场对公司未来盈利能力的预期。通常用于衡量股票的相对价值。,基本面因子,,./resource/Zh\中国股票市场的价值效应_伊克夫.pdf,FALSE
1,Book to Market Ratio (B/M),PRICE/BOOK_VALUE,反映公司市场价值与账面价值的关系，用于评估公司资产的真实价值。,基本面因子,,./resource/Zh\中国股票市场的价值效应_伊克夫.pdf,FALSE
2,Price to Sales Ratio (P/S),PRICE/SALES,用于衡量公司销售额与股票市值的关系，适用于收入驱动型的公司。,基本面因子,,./resource/Zh\中国股票市场的价值效应_伊克夫.pdf,FALSE
3,Price to Cash Flow Ratio (P/CF),PRICE/FREE_CASH_FLOW,衡量公司股票价格与自由现金流之间的关系，反映公司盈利能力和现金流状况。,基本面因子,,./resource/Zh\中国股票市场的价值效应_伊克夫.pdf,FALSE
4,Mean Reversion,"MEAN(CLOSE,20)-CLOSE",指收盘价相对于一段时间内均值的偏离程度，通常用于衡量价格的回归趋势。,技术因子,,./resource/Zh\中国股票市场的价值效应_伊克夫.pdf,FALSE
5,Z-Score Mean Reversion,"(CLOSE-MEAN(CLOSE,20))/STD(CLOSE,20)",Z分数均值回归因子通过标准差来衡量当前价格相对于历史均值的偏离程度。,技术因子,,./resource/Zh\中国股票市场的价值效应_伊克夫.pdf,FALSE
6,Volume,VOLUME,衡量股票在市场中的可交易性和易变现性，通常通过交易量来评估。,技术因子,,./resource/Zh\中国股票市场的价值效应_伊克夫.pdf,TRUE
7,Price Volatility,"STD(CLOSE,20)",描述股票价格在一定时间内的波动幅度，通常用于反映市场的风险水平。,技术因子,,./resource/Zh\中国股票市场的价值效应_伊克夫.pdf,TRUE
8,Momentum,CLOSE[1]-CLOSE[0],反映股票价格在一定时间内的上涨或下跌趋势。,技术因子,,./resource/Zh\中国股票市场的价值效应_伊克夫.pdf,FALSE
9,Turnover,VOLUME/CAPITAL,衡量股票在市场中的可交易性和易变现性，通常通过换手率来评估。,技术因子,,./resource/Zh\中国股票市场的价值效应_伊克夫.pdf,FALSE
10,Market Sentiment,VOLUME/CAPITAL,反映市场情绪，通常通过换手率来评估。,技术因子,,./resource/Zh\中国股票市场的价值效应_伊克夫.pdf,FALSE
11,GDP Growth Rate,GDP_GROWTH_RATE,衡量国内生产总值增长率，反映经济增长情况。,宏观因子,,./resource/Zh\中国股票市场的价值效应_伊克夫.pdf,TRUE
12,CPI,CPI,衡量居民消费价格指数，反映通货膨胀情况。,宏观因子,,./resource/Zh\中国股票市场的价值效应_伊克夫.pdf,TRUE
13,Inflation Rate,INFLATION_RATE,衡量通货膨胀率，反映经济状况。,宏观因子,,./resource/Zh\中国股票市场的价值效应_伊克夫.pdf,TRUE
14,Interest Rate,INTEREST_RATE,衡量上海银行间同业拆借1年期利率，反映市场利率水平。,宏观因子,,./resource/Zh\中国股票市场的价值效应_伊克夫.pdf,TRUE
